TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;33.913.576/0001-07;DB II FIM INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;508515.00;;;SDP;DI1 X PRE
FI;33.913.576/0001-07;DB II FIM INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;168541503.73;;;SCP;DOL X PRE
FI;33.913.576/0001-07;DB II FIM INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;55281818.98;;;Outros;999 X 999
FI;33.913.576/0001-07;DB II FIM INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;163264391.89;;;SCP;DOL X PRE
FI;33.913.576/0001-07;DB II FIM INVESTIMENTO NO EXTERIOR CRÉDITO PRIVADO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;8658685.67;;;SDP;DI1 X PRE
FI;34.660.200/0001-92;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATÉGIA LIVRE MULTIMERCADO LONGO PRAZO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;147701.37;;;Outros;999 X 999
FI;35.690.218/0001-08;BB MULTIMERCADO OURO FUNDO DE INVESTIMENTO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;660287.20;;;SCO;DOL X OZ1
FI;35.813.066/0001-85;B3R AÇÕES FUNDO DE INVESTIMENTO EM AÇÕES INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;849.54;;;SDP;DI1 X PRE
FI;36.532.178/0001-20;SANTANDER PB CHRONOS MULTIMERCADO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;2024-02-29;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;16066.05;;;SDP;DI1 X PRE
FI;36.671.885/0001-06;CDGS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2024-02-29;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;162408.58;;;SDP;DI1 X PRE
